lat_midpoint	parasitoid_shannon	host_shannon
-35	3.4105994731783436	2.630107739457617
-25	2.625137975764884	3.7599937057517963
-15	3.0516993889823443	3.9678831140181
-5	1.9035633722035605	5.025121238680024
5	4.540040252136746	5.006150358042986
15	4.478519190709778	4.001030200573865
25	2.828031385800461	3.351069322590857
35	4.351858423836506	3.455404677649456
45	5.419914673952107	3.3115028321257034
55	5.536266597020088	3.0464728006100685
65	4.891264262548885	2.6097324735612197
75	1.7138379177966467	0.8973370987030682
85	1.5465986860485124	0
