lat_midpoint	group	shannon
-35	parasitoid	3.4105994731783436
-35	host	2.630107739457617
-25	parasitoid	2.625137975764884
-25	host	3.7599937057517963
-15	parasitoid	3.0516993889823443
-15	host	3.9678831140181
-5	parasitoid	1.9035633722035605
-5	host	5.025121238680024
5	parasitoid	4.540040252136746
5	host	5.006150358042986
15	parasitoid	4.478519190709778
15	host	4.001030200573865
25	parasitoid	2.828031385800461
25	host	3.351069322590857
35	parasitoid	4.351858423836506
35	host	3.455404677649456
45	parasitoid	5.419914673952107
45	host	3.3115028321257034
55	parasitoid	5.536266597020088
55	host	3.0464728006100685
65	parasitoid	4.891264262548885
65	host	2.6097324735612197
75	parasitoid	1.7138379177966467
75	host	0.8973370987030682
85	parasitoid	1.5465986860485124
85	host	0
